compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_bulk_modulus_voigt
Ag2I2,aflow:008f8da25d4acde9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1I1_ICSD_28230,129,tP4,11.462
As4Co2,aflow:00d4123713eaf16f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/As2Co1_ICSD_610034,58,oP6,124.944
Pt10Se8,aflow:0035c52ef4fe3fdc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Pt5Se4_ICSD_87926,14,mP18,132.491
Cs3In9,aflow:006fb71322057339,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cs1In3_ICSD_102867,119,tI24,21.7241
Ag1Zr2,aflow:0096426c57ae3f16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Zr2_ICSD_163153,139,tI6,94.5037
Nb2P2,aflow:001a4bbb607a30b0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Nb1P1_ICSD_76027,141,tI8,169.852
Ca1S1,aflow:007edcc20ee1c898,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca1S1_ICSD_186785,225,cF8,57.1111
Ca2Ga4,aflow:01cd2fc4dc2035af,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ca1Ga2_ICSD_260645,194,hP6,52.1657
S6Zn6,aflow:01f91f60cd246632,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/S1Zn1_ICSD_42798,186,hP12,71.1111
Ho12Ru4,aflow:01692a28f1f2dd06,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ho3Ru1_ICSD_639642,62,oP16,64.138
Si2Th1,aflow:01f2970f2341e9d8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Si2Th1_ICSD_15449,191,hP3,101.044
Pb3Yb1,aflow:0132ab6b9cddd429,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pb3Yb1_ICSD_105646,221,cP4,25.6389
F9Y3,aflow:012e952be3f6311f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/F3Y1_ICSD_15961,221,cP12,96.7167
Li2Se1,aflow:01a70da6b0c35513,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Li2Se1_ICSD_168446,225,cF12,33.8722
As8Ga8,aflow:01fa5c13aa409040,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/As1Ga1_ICSD_41992,205,cP16,60.6019
Ir8Zr16,aflow:0164efa5098257b9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir1Zr2_ICSD_641208,227,cF96,135.017
Ce1Tl3,aflow:018580c862562859,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ce1Tl3_ICSD_102295,221,cP4,57.2667
C1Sn1,aflow:01f0334da2961bb4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sn1_ICSD_182366,225,cF8,119.661
Er1Hg2,aflow:01f4a70d35a43898,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Er1Hg2_ICSD_103246,191,hP3,69.613
Cu36Ga16,aflow:015780f696dcf7c1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cu9Ga4_ICSD_627389,215,cP52,118.55
Ga3Ni5,aflow:01ab8b80d4bc4c9e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ga3Ni5_ICSD_103861,65,oS16,172.074
As1Rh2,aflow:01a40028ad8815a4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/As1Rh2_ICSD_43362,225,cF12,195.45
La3Sn7,aflow:011b17af29b373b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/La3Sn7_ICSD_261872,65,oS20,52.4019
Sc4Te4,aflow:02c358a7dc44aac2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Sc1Te1_ICSD_262042,194,hP8,63.6389
Pd1Zr2,aflow:0262e761a2b03f0f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Pd1Zr2_ICSD_105758,139,tI6,123.996
Mo2P4,aflow:029fe9751aa1f2e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Mo1P2_ICSD_37222,36,oS12,170.452
Rh1Y1,aflow:02f0db62eca4baea,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Rh1Y1_ICSD_105972,221,cP2,112.894
C3N4,aflow:02e917f98e603284,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C3N4_ICSD_246659,215,cP7,388.65
Au2Ta6,aflow:026d53f8b797a05e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Au1Ta3_ICSD_58599,223,cP8,192.15
Ge6Rh10,aflow:02de8fc28502ff13,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge3Rh5_ICSD_42776,55,oP16,178.502
Rh4Sb12,aflow:024a718017fd90ef,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Rh1Sb3_ICSD_650248,204,cI32,87.5352
Nb2Pt2,aflow:02606407b3d5e7ab,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Nb1Pt1_ICSD_645211,51,oP4,219.62
Mn2Te2,aflow:032645bbe4ef9028,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mn1Te1_ICSD_174028,194,hP4,52.5185
Dy2S4,aflow:03d68fb0a1b0973e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Dy1S2_ICSD_630195,129,tP6,92.5778
Ir4Zr12,aflow:03d59a9ad8934f55,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ir1Zr3_ICSD_104607,121,tI32,128.919
Au2Nb1,aflow:03e66c089b82497c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Au2Nb1_ICSD_58558,191,hP3,167.215
B8Fe4,aflow:0361058f418da352,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B2Fe1_ICSD_425310,62,oP12,307.183
La1S1,aflow:03c11dea6b39bb41,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/La1S1_ICSD_183951,221,cP2,77.4
Ga2P2,aflow:03a5f896f948a2e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ga1P1_ICSD_67772,186,hP4,79.013
Al1Pt3,aflow:03988d8bec1cfd41,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1Pt3_ICSD_107869,221,cP4,225.972
Li3Sb1,aflow:03df7938ea1e3872,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Li3Sb1_ICSD_44900,225,cF16,32.8667
Sb1Tl1,aflow:035c219449edca3f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sb1Tl1_ICSD_184577,216,cF8,30.7389
Pb4Sr8,aflow:037533a6eb09be9b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Pb1Sr2_ICSD_105624,62,oP12,23.6685
Al40V4,aflow:0360ce1f6f02c4b4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al10V1_ICSD_58202,227,cF176,85.8556
La4Sb2,aflow:042ae8e78da434b2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/La2Sb1_ICSD_10442,139,tI12,52.5852
P1Sn1,aflow:04a2d01b34ff1142,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/P1Sn1_ICSD_77786,225,cF8,72.7056
C1Ce1,aflow:04ca355af458d4a6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ce1_ICSD_617324,225,cF8,130.533
B1C7,aflow:0401731cb29df494,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B1C7_ICSD_181952,115,tP8,392.07
B4Nb6,aflow:0449551808fa2508,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B2Nb3_ICSD_107319,127,tP10,233.446
O3Re1,aflow:04c1e3d16ba9bf64,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/O3Re1_ICSD_105546,221,cP4,230.85
Hf2Si4,aflow:0403be53d36aa9ba,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Hf1Si2_ICSD_16697,63,oS12,132.646
Hf4P4,aflow:044ad6823da5aa39,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1P1_ICSD_42914,194,hP8,148.015
O8Pt6,aflow:05c3474a8625fbd6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/O4Pt3_ICSD_30444,223,cP14,210.867
S12Y8,aflow:050dd375aef72782,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/S3Y2_ICSD_651407,62,oP20,79.0167
Hf4Pt12,aflow:05d3592526d7ddc7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1Pt3_ICSD_104258,194,hP16,233.307
C1Zr1,aflow:05e1e26d2863644d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_183162,216,cF8,145.533
Ir1N1,aflow:054123e54b15f7eb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir1N1_ICSD_183156,216,cF8,253.8
Cd6Ho2,aflow:05ba1c243fbd3cdd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Cd3Ho1_ICSD_58990,63,oS16,57.863
C6Si6,aflow:059e25f57cc58053,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_15325,186,hP12,212.691
Co4Sb12,aflow:06cd22a62d375864,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Co1Sb3_ICSD_164980,204,cI32,78.7685
La1Te1,aflow:06699819a26d36e6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/La1Te1_ICSD_183953,221,cP2,57.0056
Ge4Rh8,aflow:06823edbc5951c56,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1Rh2_ICSD_637674,62,oP12,195.413
Te2V2,aflow:0664f987bfcf9283,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Te1V1_ICSD_52509,194,hP4,60.0444
In3Zr1,aflow:0637de345cdce557,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/In3Zr1_ICSD_59578,139,tI8,79.7574
Ru8Sc4,aflow:0685d1b08eca1734,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ru2Sc1_ICSD_650601,194,hP12,161.678
Al6Hf2,aflow:06d78e7954a45ded,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al3Hf1_ICSD_109214,139,tI16,106.152
Mg4Se8,aflow:0646390e435418ab,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Mg1Se2_ICSD_642815,205,cP12,50.0907
As1U1,aflow:06f1bb3cfd366da4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/As1U1_ICSD_44079,221,cP2,75.7556
Al1N1,aflow:06c4f5b0f1a49096,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1N1_ICSD_105522,225,cF8,253.039
La1Pt5,aflow:07ca124e3b54ff2e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/La1Pt5_ICSD_104702,191,hP6,179.47
Hg1Li1,aflow:07f268d309e600b2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Hg1Li1_ICSD_104308,221,cP2,32.5667
Al14Th4,aflow:078d522f37517545,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Al7Th2_ICSD_58186,55,oP18,85.5685
Al1Ru1,aflow:0748412c3a3db28b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1Ru1_ICSD_106247,221,cP2,201.778
Pt3V1,aflow:070d1a4de1bb3fe4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pt3V1_ICSD_105841,221,cP4,223.35
Rh4Sb8,aflow:07eac22977da80fe,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Rh1Sb2_ICSD_43501,14,mP12,104.572
Rh4Si4,aflow:076adc806cdc6385,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Rh1Si1_ICSD_182504,198,cP8,225.841
Na2Pt4,aflow:07b0e30c2a75ec20,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Na1Pt2_ICSD_105162,227,cF24,122.511
Ga2Y2,aflow:086e1681681e97fe,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ga1Y1_ICSD_104030,63,oS8,67.1528
Cd3I6,aflow:08c7d01b1f919c8e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cd1I2_ICSD_42207,156,hP9,13.2648
Ru8Sn12,aflow:08394c3822dd81e4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ru2Sn3_ICSD_105994,116,tP20,129.652
Li40Pb12,aflow:082258cc457161b7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Li10Pb3_ICSD_30221,215,cP52,21.5111
Al4Ba1,aflow:089db02d79e92ef6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al4Ba1_ICSD_57513,139,tI10,51.1981
B2Zr1,aflow:08bf56bf0b207b22,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Zr1_ICSD_169458,191,hP3,238.381
Al1Au2,aflow:08167170b6a59946,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al1Au2_ICSD_606020,139,tI6,124.876
As16Mg24,aflow:0860600e60bf426b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/As2Mg3_ICSD_43990,206,cI80,49.3
B2Hf1,aflow:09457595b027e910,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Hf1_ICSD_167820,191,hP3,251.964
Ba6Pb10,aflow:093eac89f3019431,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ba3Pb5_ICSD_165184,63,oS32,27.1315
Ho6Tl10,aflow:095a60fa8ca0cf2e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ho3Tl5_ICSD_639785,63,oS32,54.9519
P12Ru4,aflow:09edfe5881c94c85,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/P3Ru1_ICSD_62420,2,aP16,153.785
Os4Te8,aflow:09fcff2bd6ce3986,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Os1Te2_ICSD_24189,205,cP12,124.933
O4Os2,aflow:09be66b9ee3ec794,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Os1_ICSD_15070,136,tP6,281.628
Ca1Pd1,aflow:0960532b241beba2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ca1Pd1_ICSD_58926,221,cP2,54.8278
Si4Zr2,aflow:0a2aea5c8588c44a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Si2Zr1_ICSD_16772,63,oS12,126.817
S1Tb1,aflow:0a3f61db91adc40b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/S1Tb1_ICSD_43604,225,cF8,96.0
Au4Bi2,aflow:0aac11f148bc088b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Au2Bi1_ICSD_52284,227,cF24,96.0722
Pd6Si3,aflow:0a399828945da418,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Pd2Si1_ICSD_648847,189,hP9,179.933
Co2Zr4,aflow:0a22469748423b7e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Co1Zr2_ICSD_625671,140,tI12,97.2333
Pa2Sb4,aflow:0aeb6941dee60e0a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Pa1Sb2_ICSD_648339,129,tP6,83.0167
Te4Y2,aflow:0a9eef79f2c13231,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Te2Y1_ICSD_653179,129,tP6,57.9407
Rh3Th1,aflow:0a51a21a7c15d877,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Rh3Th1_ICSD_105949,221,cP4,151.294
Ce2O4,aflow:0bd636fe8e8aa7c8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ce1O2_ICSD_169031,136,tP6,150.776
Be6P4,aflow:0b01214ece74b40a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Be3P2_ICSD_187677,224,cP10,99.75
Os1Ti1,aflow:0bf997c48fac9fb0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Os1Ti1_ICSD_105572,221,cP2,246.422
Be26Hf2,aflow:0bdcb21b070ee9c8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13Hf1_ICSD_150775,226,cF112,125.944
Mg2O2,aflow:0bd59707063477ec,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mg1O1_ICSD_181461,186,hP4,115.498
Mo6Sb14,aflow:0b5dd2e20c2f9c5f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Mo3Sb7_ICSD_16823,229,cI40,106.567
Ir3Ta1,aflow:0b20629a915a4c54,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ir3Ta1_ICSD_104566,221,cP4,324.806
Au4Sb8,aflow:0b3a0c3057da1967,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Au1Sb2_ICSD_40350,205,cP12,70.2648
Al1Os1,aflow:0bfbd3e06ddf9497,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1Os1_ICSD_58107,221,cP2,239.683
Ba2Cd1,aflow:0bc4e2ff418c3658,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ba2Cd1_ICSD_30083,139,tI6,14.5556
Au1In2,aflow:0c443f85eacd3890,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Au1In2_ICSD_58489,225,cF12,53.2056
He8Ne4,aflow:0c36787efc568915,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/He2Ne1_ICSD_659143,194,hP12,3.77037
Ca1Ga2,aflow:0c482f688086202e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ca1Ga2_ICSD_58890,191,hP3,49.8648
Nb6Os2,aflow:0c4781673ab00865,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Nb3Os1_ICSD_105184,223,cP8,225.283
F5U1,aflow:0cd3158e7247874c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/F5U1_ICSD_200459,87,tI12,29.9833
Mg1Tb1,aflow:0ce177aa4bc71358,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Mg1Tb1_ICSD_104879,221,cP2,41.4333
Ba2Te6,aflow:0cf0aed63b5cc3c0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ba1Te3_ICSD_36366,113,tP8,23.3056
C60Sr6,aflow:0cbec882fb6cac14,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/C60Sr6_ICSD_75356,204,cI132,77.237
Al4Yb2,aflow:0d4deea08191ff0d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al2Yb1_ICSD_58222,227,cF24,49.0111
La1Tl1,aflow:0d91f21f39bd0cb6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/La1Tl1_ICSD_104730,221,cP2,48.8333
Au4Ho8,aflow:0d41c566b96e2b8b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Au1Ho2_ICSD_58480,62,oP12,63.6759
Be1Rh1,aflow:0d4c2a40fe143a57,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Be1Rh1_ICSD_58734,221,cP2,208.917
B4N4,aflow:0df4010c4c8a315d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B1N1_ICSD_162875,131,tP8,72.8056
Au1Yb1,aflow:0d57d1fc06190bdd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Au1Yb1_ICSD_58618,221,cP2,45.1778
N8O4,aflow:0d80a637c412b773,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/N2O1_ICSD_22397,205,cP12,4.46111
As8Th4,aflow:0dc85129d5df6775,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/As2Th1_ICSD_611488,62,oP12,88.7148
Ho16O24,aflow:0dbf333d56d49923,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Ho2O3_ICSD_27773,206,cI80,145.207
Er1Pd1,aflow:0e26532e1f564764,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Er1Pd1_ICSD_103279,221,cP2,93.0222
Pd2Sb2,aflow:0ed64f5c8776a557,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Pd1Sb1_ICSD_42597,194,hP4,103.939
Si6V3,aflow:0e8d82ad77d39c63,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Si2V1_ICSD_603134,180,hP9,168.087
La2Rh4,aflow:0eaa14ed14809d87,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La1Rh2_ICSD_104705,227,cF24,135.822
Na4S4,aflow:0e6cd1ae0109c5c4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Na1S1_ICSD_644958,194,hP8,26.2426
Ti1Zn3,aflow:0e7c696a2b110cf5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ti1Zn3_ICSD_106185,221,cP4,79.65
Pb1S1,aflow:0eba6b16a3d9271f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_169770,225,cF8,53.4722
B2Mn1,aflow:0e5997687be5d3dc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Mn1_ICSD_187733,191,hP3,157.028
C1Si1,aflow:0e5c7dd4d4402dff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Si1_ICSD_182362,225,cF8,242.211
Cd33Na6,aflow:0e4a5c866567f309,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cd11Na2_ICSD_421373,200,cP39,33.1574
Ir3V1,aflow:0f10c1ca4753d48d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ir3V1_ICSD_104594,221,cP4,316.728
Sn4Tb2,aflow:0f5adf856aadc3b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Sn2Tb1_ICSD_168671,63,oS12,58.9926
Ir1Sn2,aflow:0f7397e9ad37bd23,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir1Sn2_ICSD_641054,225,cF12,106.678
N1Ta1,aflow:0fbd269336705895,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/N1Ta1_ICSD_183426,221,cP2,302.006
Ge8W4,aflow:0f6ff751e84ae94d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge2W1_ICSD_638115,62,oP12,168.928
Ir8Sc22,aflow:0fba4848056e4440,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir4Sc11_ICSD_10438,225,cF120,99.1
Dy1Zn1,aflow:0f529a0f57f0ae5a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Dy1Zn1_ICSD_103379,221,cP2,55.8389
Ba2Pd2,aflow:10ee17b38b9b345d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ba1Pd1_ICSD_616028,63,oS8,32.8426
Al12Tc2,aflow:102d5118cbe68e9c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Al6Tc1_ICSD_58177,63,oS28,107.976
Bi8Ir4,aflow:10542c5bb2429fac,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Bi2Ir1_ICSD_424397,14,mP12,94.35
Al2Au1,aflow:1054a8325a9e105f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al2Au1_ICSD_151405,225,cF12,101.061
Ir4Sb12,aflow:106beeff0ded7348,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Ir1Sb3_ICSD_44717,204,cI32,97.4889
Cd1Pd1,aflow:108d4b907ff03a21,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Cd1Pd1_ICSD_102043,123,tP2,111.717
Ni2Tl2,aflow:100d7ab42acb5577,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1Tl1_ICSD_105427,194,hP4,81.487
Cu1Ti2,aflow:102ebc4a73bc6c10,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cu1Ti2_ICSD_15807,139,tI6,120.289
C1Y1,aflow:10e56bff43e34aa4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Y1_ICSD_181049,225,cF8,124.4
Rh4Sb12,aflow:10ec39f590da91f5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Rh1Sb3_ICSD_34049,204,cI32,87.613
Mg2Pb1,aflow:1099c86fed89ce26,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mg2Pb1_ICSD_104846,225,cF12,35.1833
Li1Tl1,aflow:10844f99e3db9455,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Li1Tl1_ICSD_104789,221,cP2,27.6556
Ba2O2,aflow:10aba4c9e4bb81e3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ba1O1_ICSD_173921,194,hP4,66.8537
Ge4La4,aflow:10092caf54890c0d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1La1_ICSD_108512,62,oP8,64.6185
Os4S8,aflow:11111cfac1bbfe20,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Os1S2_ICSD_24187,205,cP12,187.083
B1Be2,aflow:114d179739831b45,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B1Be2_ICSD_108027,225,cF12,145.728
Se4Tl4,aflow:1129ad921009085f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Se1Tl1_ICSD_652064,140,tI16,22.8704
Co2Te4,aflow:113197615c98fe4c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Co1Te2_ICSD_42728,58,oP6,51.4315
Ca2Pd4,aflow:117db814828b5c75,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca1Pd2_ICSD_619495,227,cF24,92.6556
Au16Zr4,aflow:115eb92b97906ada,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Au4Zr1_ICSD_58631,62,oP20,135.994
Cd1Se1,aflow:113bf1e066e9b967,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd1Se1_ICSD_180931,216,cF8,46.65
Ga4Pd4,aflow:11c77f6a9be467cc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ga1Pd1_ICSD_174526,198,cP8,127.293
N1V1,aflow:11639813fd5fbe0a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/N1V1_ICSD_183422,221,cP2,300.728
Gd1O1,aflow:124d637f03fce9d8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd1O1_ICSD_24981,216,cF8,104.189
