compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_bulk_modulus_voigt
Au2Tb1,aflow:d747bd4ffc1c3a31,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Au2Tb1_ICSD_58601,139,tI6,96.9167
Be26Sr2,aflow:d73b0934ea26239d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13Sr1_ICSD_58737,226,cF112,94.7722
Cd2La1,aflow:d78310bea3777178,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cd2La1_ICSD_620070,191,hP3,48.1352
Cd4Sr2,aflow:d7ab8c656ef3d930,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/Cd2Sr1_ICSD_102067,74,oI12,33.1667
O6Re2,aflow:d78af45e82c36563,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/O3Re1_ICSD_202338,182,hP8,163.867
Cd33La3,aflow:d71692d1991ba185,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cd11La1_ICSD_620068,221,cP36,55.2111
Rh1Tb1,aflow:d870e9cabb74da98,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Rh1Tb1_ICSD_105942,221,cP2,112.15
Mg3Tb1,aflow:d89a17f151da8d1f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mg3Tb1_ICSD_642871,225,cF16,41.4333
Rh5Tb1,aflow:d8d9d9338b770def,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Rh5Tb1_ICSD_105944,191,hP6,179.726
Nb6Te2,aflow:d8a08aca06b881d7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Nb3Te1_ICSD_105244,223,cP8,165.467
S1Ti1,aflow:d8a5fb5a8ab18a87,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/S1Ti1_ICSD_52193,187,hP2,134.474
Al4Pt12,aflow:d8bd8c3afee2608e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Al1Pt3_ICSD_107439,127,tP16,220.559
O4Rh2,aflow:d8a4ae856daf528c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Rh1_ICSD_28498,136,tP6,226.648
B6Th1,aflow:d852634bea6c15c2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B6Th1_ICSD_24703,221,cP7,196.85
Co4Sb12,aflow:d8c58b5e841891f2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Co1Sb3_ICSD_161491,204,cI32,78.6
Mo2Rh2,aflow:d843347666787469,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Mo1Rh1_ICSD_108608,51,oP4,261.587
Bi1Li1,aflow:d80a8198ef249337,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Bi1Li1_ICSD_58796,123,tP2,39.1556
