compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_bulk_modulus_reuss
C1Lu1Rh3,aflow:c8bf0fc0acaf2a94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Lu1Rh3_ICSD_77151,221,cP5,202.942
C4Co2Sc2,aflow:10e28bd144775b49,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/C2Co1Sc1_ICSD_62598,129,tP8,202.969
Ho2Ir4,aflow:bce71f93eb45bad8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho1Ir2_ICSD_104416,227,cF24,203.006
Mo3Si6,aflow:39f356cd89bbb02f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mo1Si2_ICSD_182116,180,hP9,203.017
C4Co8Mo16,aflow:f316392e464ad886,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Co2Mo4_ICSD_76136,227,cF112,203.15
Ag1Pt5Si1,aflow:c6eee5e705fb3446,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1Pt5Si1_ICSD_605693,123,tP7,203.29
O4Ti2,aflow:b1775de1fb55c620,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/OTi_sv/A2B_tP6_136_f_a-001.AB,136,tP6,203.323
O4Ti2,aflow:b1775de1fb55c620,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/OTi_sv/A2B_tP6_136_f_a-001.AB,136,tP6,203.323
Dy4Re8,aflow:6be99327c67a9ba6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Dy1Re2_ICSD_630138,194,hP12,203.578
In1P1Pt5,aflow:0558951a7db02a0b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/In1P1Pt5_ICSD_640194,123,tP7,203.653
O8Pa4,aflow:8819319603e6b49d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/O2Pa1_ICSD_647247,205,cP12,203.8
O2Pa1,aflow:613f851a6f86dd5b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O2Pa1_ICSD_28915,225,cF12,203.928
As2C2Nb4,aflow:e9f879ec8eba0b3c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/As1C1Nb2_ICSD_180617,194,hP8,203.947
Re8Y4,aflow:4dc818520eda573c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Re2Y1_ICSD_650202,194,hP12,204.382
Dy4Re8,aflow:7a6c97cc86edde16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Dy1Re2_ICSD_630139,194,hP12,204.397
B2Ho1Ru3,aflow:2e6fc8387da41409,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Ho1Ru3_ICSD_44419,191,hP6,204.827
Co2P4W2,aflow:4b29ef8e1c6f33b7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Co1P2W1_ICSD_624660,194,hP8,204.926
H1Ni1,aflow:412bf0dc20f54c7b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/H1Ni1_ICSD_56077,225,cF8,205.111
C1Nb1,aflow:7455802d830b3c77,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_183164,216,cF8,205.122
N8Zr6,aflow:dd82f8ad72eea18b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/N4Zr3_ICSD_97998,220,cI28,205.144
Er2Ir4,aflow:2e67ec776b02c2ba,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er1Ir2_ICSD_630707,227,cF24,205.167
B24Re4Y8,aflow:3829f8821427a5ef,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B6Re1Y2_ICSD_16187,55,oP36,205.328
Pt2Si1,aflow:3ea0d57ff7b5eec3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Pt2Si1_ICSD_649616,139,tI6,205.521
B1Ce1Rh3,aflow:51fd607704603e17,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B1Ce1Rh3_ICSD_44154,221,cP5,205.611
Al3Os2,aflow:4862e15e81e47ebb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al3Os2_ICSD_58109,139,tI10,205.633
Pb1Pt5Si1,aflow:f929956749d4eea1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Pb1Pt5Si1_ICSD_648402,123,tP7,205.654
Re3Si3Zr3,aflow:bb14b1f838196e49,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Re1Si1Zr1_ICSD_650139,189,hP9,205.738
Ho4Os8,aflow:9bb0e05f1da032f6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ho1Os2_ICSD_639530,194,hP12,205.768
Be2O2,aflow:ed51b7b3938f117f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Be1O1_ICSD_15620,186,hP4,205.993
Co2V6,aflow:bc48c99fdd4a8c42,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Co1V3_ICSD_102716,223,cP8,206.111
Ce4Os8,aflow:1342eade0b9150e9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ce1Os2_ICSD_621728,194,hP12,206.592
